1d,lstm,0.022674528789723678,50,50,50,100,200,1
1d,lstm,0.01985865747246862,50,50,50,100,500,1
1d,lstm,0.051113844750813896,50,50,50,100,1000,1
1d,lstm,0.02104234956911049,50,50,50,200,200,1
1d,lstm,0.02110006538243527,50,50,50,200,500,1
1d,lstm,0.021398753837989455,50,50,50,200,1000,1
1d,lstm,0.020772520482133978,50,50,50,400,200,1
1d,lstm,0.020845964961024168,50,50,50,400,500,1
1d,lstm,0.02173834356579261,50,50,50,400,1000,1
1d,lstm,0.024909652903456196,50,50,50,100,200,2
1d,lstm,0.021865427289445245,50,50,50,100,500,2
1d,lstm,0.04712161597002965,50,50,50,100,1000,2
1d,lstm,0.023040009765671648,50,50,50,200,200,2
1d,lstm,0.023312352453980827,50,50,50,200,500,2
1d,lstm,0.020759697078444463,50,50,50,200,1000,2
1d,lstm,0.022846247380844682,50,50,50,400,200,2
1d,lstm,0.0218605970779728,50,50,50,400,500,2
1d,lstm,0.023132654278340072,50,50,50,400,1000,2
1d,lstm,0.040794003682744266,50,50,50,100,200,4
1d,lstm,0.026478395047238985,50,50,50,100,500,4
1d,lstm,0.020475065367658578,50,50,50,100,1000,4
1d,lstm,0.03156503352806794,50,50,50,200,200,4
1d,lstm,0.024528357024239864,50,50,50,200,500,4
1d,lstm,0.029641845376772835,50,50,50,200,1000,4
1d,lstm,0.028210189565243127,50,50,50,400,200,4
1d,lstm,0.02315947913702335,50,50,50,400,500,4
1d,lstm,0.028487157840442836,50,50,50,400,1000,4
1d,lstm,0.022878749451722667,50,50,100,100,200,1
1d,lstm,0.021074347708463392,50,50,100,100,500,1
1d,lstm,0.045103028254548656,50,50,100,100,1000,1
1d,lstm,0.022307653308904003,50,50,100,200,200,1
1d,lstm,0.021338652321739055,50,50,100,200,500,1
1d,lstm,0.020871844567701765,50,50,100,200,1000,1
1d,lstm,0.019645198612416998,50,50,100,400,200,1
1d,lstm,0.021448612771954294,50,50,100,400,500,1
1d,lstm,0.02028577641314249,50,50,100,400,1000,1
1d,lstm,0.023698504047648124,50,50,100,100,200,2
1d,lstm,0.02341951611411527,50,50,100,100,500,2
1d,lstm,0.03277344239605944,50,50,100,100,1000,2
1d,lstm,0.021748038343892922,50,50,100,200,200,2
1d,lstm,0.023430470387601026,50,50,100,200,500,2
1d,lstm,0.02281265884818952,50,50,100,200,1000,2
1d,lstm,0.02159569588297927,50,50,100,400,200,2
1d,lstm,0.022041345457020207,50,50,100,400,500,2
1d,lstm,0.023581820553057957,50,50,100,400,1000,2
1d,lstm,0.04301650002743632,50,50,100,100,200,4
1d,lstm,0.025988774852391674,50,50,100,100,500,4
1d,lstm,0.019757280283264272,50,50,100,100,1000,4
1d,lstm,0.031873008413315675,50,50,100,200,200,4
1d,lstm,0.025646281021376387,50,50,100,200,500,4
1d,lstm,0.034444104618712244,50,50,100,200,1000,4
1d,lstm,0.027294121858793523,50,50,100,400,200,4
1d,lstm,0.024250075324744103,50,50,100,400,500,4
1d,lstm,0.030935594699518072,50,50,100,400,1000,4
1d,lstm,0.022977382250409,50,50,200,100,200,1
1d,lstm,0.023635328536978965,50,50,200,100,500,1
1d,lstm,0.038043206164404965,50,50,200,100,1000,1
1d,lstm,0.021546310786496697,50,50,200,200,200,1
1d,lstm,0.022691867829507828,50,50,200,200,500,1
1d,lstm,0.022137785180023326,50,50,200,200,1000,1
1d,lstm,0.019881641981620696,50,50,200,400,200,1
1d,lstm,0.020508060149593024,50,50,200,400,500,1
1d,lstm,0.021195958788082083,50,50,200,400,1000,1
1d,lstm,0.024531995909196018,50,50,200,100,200,2
1d,lstm,0.025123993681225847,50,50,200,100,500,2
1d,lstm,0.023664209465096064,50,50,200,100,1000,2
1d,lstm,0.022937079202815118,50,50,200,200,200,2
1d,lstm,0.023568423969956193,50,50,200,200,500,2
1d,lstm,0.023419597588112344,50,50,200,200,1000,2
1d,lstm,0.02147088452375101,50,50,200,400,200,2
1d,lstm,0.022030319123197323,50,50,200,400,500,2
1d,lstm,0.022860444542824813,50,50,200,400,1000,2
1d,lstm,0.04462230247668231,50,50,200,100,200,4
1d,lstm,0.026741845581292573,50,50,200,100,500,4
1d,lstm,0.018012087759026536,50,50,200,100,1000,4
1d,lstm,0.03111214378821257,50,50,200,200,200,4
1d,lstm,0.025362146062531923,50,50,200,200,500,4
1d,lstm,0.028649150702416852,50,50,200,200,1000,4
1d,lstm,0.024557319334332663,50,50,200,400,200,4
